F1,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020
13554,11304836,111,40.64495,-73.95896,2,69,302,13,1,0.13,0
13144,10666314,111,40.70788,-73.93889,2,117,328,13,6,0.5,4
22227,19311031,175,40.6735,-73.95322,2,90,206,13,13,0.51,0
4863,3765357,80,40.73967,-73.98041,2,200,206,13,4,0.06,177
3770,2571283,12,40.78283,-73.97206,2,199,297,13,2,0.03,0
34688,30066459,12,40.80741,-73.96658,2,150,331,13,1,0.08,0
17539,14837052,87,40.7155,-74.00754,2,800,192,13,2,0.1,157
6094,4725852,126,40.7119,-73.96377,2,185,330,13,7,0.15,16
13347,10980678,154,40.6811,-73.9542,2,90,297,14,14,0.44,71
9538,7800079,111,40.70694,-73.93246,2,100,8,14,10,0.22,363
14218,12087785,111,40.69106,-73.96529,2,169,11,14,14,0.32,279
4119,3012871,111,40.71756,-73.95579,2,165,30,14,27,0.41,339
22057,19179372,111,40.70376,-73.92104,2,170,95,14,23,0.78,269
1952,944840,111,40.70447,-73.98754,2,134,97,14,14,0.17,126
7214,5839029,111,40.71603,-73.94785,2,260,173,14,66,1.16,153
28315,23694603,111,40.71432,-73.94751,2,120,188,14,5,0.29,169
3769,2571224,111,40.72002,-73.9578,2,90,193,14,2,0.1,248
7082,5691347,111,40.68319,-73.96766,2,135,265,14,26,0.53,73
23243,20035466,111,40.67619,-73.9532,2,100,360,14,6,0.21,0
33690,29301424,111,40.66486,-73.99535,2,90,360,14,8,0.61,10
14626,12546799,111,40.69175,-73.95554,2,48,361,14,4,0.1,0
20925,18196880,111,40.66429,-73.9581,2,115,362,14,2,0.07,72
11196,9280902,111,40.69029,-73.95443,2,98,364,14,9,0.18,0
20989,18266105,67,40.7402,-73.999,2,300,50,14,53,2.12,5
5287,4129195,67,40.75097,-73.99562,2,175,336,14,78,1.25,0
29649,25113440,60,40.73587,-73.8616,2,100,301,14,2,0.59,0
21895,19069048,174,40.72529,-73.98655,2,300,346,14,5,0.17,0
5106,3962389,144,40.61938,-73.92471,2,125,51,14,10,0.19,323
